iter	Passed	Remaining
0	1	138
1	2	125
2	3	118
3	4	109
4	5	108
5	6	107
6	7	106
7	9	105
8	10	103
9	11	102
10	12	101
11	13	100
12	14	98
13	15	97
14	17	96
15	18	95
16	19	94
17	20	92
18	21	92
19	22	90
20	23	89
21	24	88
22	25	87
23	27	85
24	28	84
25	29	83
26	30	82
27	31	81
28	32	79
29	33	78
30	34	77
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	60	51
54	60	49
55	61	48
56	62	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	31
72	80	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
